City,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
0,New Norfolk,AU,68.9,overcast clouds,-42.7826,147.0587,The Shingles Riverside Cottages
2,Tasiilaq,GL,26.76,overcast clouds,65.6145,-37.6368,The Red House
7,Codrington,AU,67.82,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
10,Panguipulli,CL,49.71,clear sky,-39.6333,-72.3333,Cabañas Mis Viejos
11,Havoysund,NO,23.88,light snow,70.9963,24.6622,Arctic View Glamping & Restaurant
13,Ancud,CL,51.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
14,Bethel,US,26.04,broken clouds,41.3712,-73.414,Courtyard by Marriott Danbury
17,Punta Arenas,CL,41.11,clear sky,-53.15,-70.9167,Hotel Hain
19,Cabo San Lucas,MX,62.94,few clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
20,Jamestown,US,13.71,overcast clouds,42.097,-79.2353,Hampton Inn & Suites Jamestown
23,Misratah,LY,57.25,clear sky,32.3754,15.0925,Almasa Hotel
29,Longyearbyen,SJ,10.24,few clouds,78.2186,15.6401,"Radisson Blu Polar Hotel, Spitsbergen"
37,Jumla,NP,44.87,clear sky,29.2747,82.1838,Royal Garden Hotel
39,Bagnols-Sur-Ceze,FR,49.55,clear sky,44.1599,4.6178,Hôtel Château du Val de Ceze
42,Mataura,NZ,55.47,broken clouds,-46.1927,168.8643,Ellie's Villa
45,Ponta Do Sol,PT,63.23,clear sky,32.6667,-17.1,Hotel do Campo
46,Coihaique,CL,51.75,clear sky,-45.5752,-72.0662,Diego De Almagro Coyhaique
47,Metz,FR,36.86,clear sky,49.1191,6.1727,ibis Metz Centre Cathédrale
50,Nikolskoye,RU,21.7,light snow,59.7035,30.7861,Tourist House - Sablino
51,Ushuaia,AR,42.46,clear sky,-54.8,-68.3,Albatross Hotel
52,Phek,IN,52.68,scattered clouds,25.6667,94.5,Prayer Centre
53,Coquimbo,CL,62.33,clear sky,-29.9533,-71.3436,Hostel Del Puerto
61,Katsuura,JP,43.11,broken clouds,35.1333,140.3,Katsuura Hotel Mikazuki
63,Antofagasta,CL,63.68,clear sky,-23.65,-70.4,"Holiday Inn Express Antofagasta, an IHG Hotel"
64,Stornoway,GB,42.93,light rain,58.2093,-6.3865,Caladh Inn
68,Hobart,AU,69.26,broken clouds,-42.8794,147.3294,Mantra on Collins Hobart
69,Olafsvik,IS,28.71,overcast clouds,64.8945,-23.7142,Hotel Olafsvik
70,Aksu,CN,30.33,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
71,Dovolnoye,RU,14.11,overcast clouds,54.4958,79.6671,Gostinitsa
73,Torbay,CA,33.76,mist,47.6666,-52.7314,Gallows Cove
81,Saldanha,ZA,68.99,few clouds,-33.0117,17.9442,Blue Bay Lodge
82,Amberley,US,20.05,overcast clouds,39.2048,-84.428,Days Inn & Suites by Wyndham Cincinnati
