City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,68.9,49,100,3.0,overcast clouds
1,Leningradskiy,RU,69.3833,178.4167,-19.73,95,37,6.87,scattered clouds
2,Tasiilaq,GL,65.6145,-37.6368,26.76,67,100,39.44,overcast clouds
3,Acapulco,MX,16.8634,-99.8901,73.22,88,0,2.3,clear sky
4,Kavieng,PG,-2.5744,150.7967,83.66,71,92,8.21,overcast clouds
5,Rikitea,PF,-23.1203,-134.9692,78.49,73,13,7.85,few clouds
6,Busselton,AU,-33.65,115.3333,107.04,38,0,9.4,clear sky
7,Codrington,AU,-38.2667,141.9667,67.82,63,100,22.82,overcast clouds
8,Belaya Gora,RU,68.5333,146.4167,-36.58,100,71,0.56,broken clouds
9,Sabang,ID,5.8933,95.3214,82.0,76,88,20.49,overcast clouds
10,Panguipulli,CL,-39.6333,-72.3333,49.71,91,2,2.35,clear sky
11,Havoysund,NO,70.9963,24.6622,23.88,82,42,20.02,light snow
12,La Ronge,CA,55.1001,-105.2842,-9.15,77,100,5.75,overcast clouds
13,Ancud,CL,-41.8697,-73.8203,51.22,91,5,1.95,clear sky
14,Bethel,US,41.3712,-73.414,26.04,83,75,9.22,broken clouds
15,Fairbanks,US,64.8378,-147.7164,6.1,80,100,0.0,light snow
16,Vostok,RU,46.4856,135.8833,-0.96,91,100,5.79,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,41.11,75,0,5.75,clear sky
18,Cayenne,GF,4.9333,-52.3333,80.1,85,75,7.0,broken clouds
19,Cabo San Lucas,MX,22.8909,-109.9124,62.94,70,17,3.4,few clouds
20,Jamestown,US,42.097,-79.2353,13.71,51,100,10.36,overcast clouds
21,Port Alfred,ZA,-33.5906,26.891,70.18,84,91,13.27,light rain
22,Hilo,US,19.7297,-155.09,71.8,89,75,3.44,broken clouds
23,Misratah,LY,32.3754,15.0925,57.25,40,6,10.38,clear sky
24,Ambon,ID,-3.6954,128.1814,89.74,62,40,4.61,scattered clouds
25,Pandua,IN,23.0833,88.2833,73.27,38,0,11.54,clear sky
26,Tokur,RU,53.1333,132.9,-2.67,89,100,4.27,overcast clouds
27,Albany,US,42.6001,-73.9662,15.31,85,100,1.01,overcast clouds
